id,user_id,post_type,content,recipient_id,created_at,is_visible
1,974,Story,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh,152,2023-12-02 12:06:03,1
2,544,Message,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,364,2023-08-25 05:51:59,1
3,6,Message,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,717,2024-02-14 04:40:59,1
4,341,Message,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in,908,2023-04-03 19:47:38,1
5,485,Message,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,375,2024-02-10 10:56:51,1
6,335,Story,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,81,2023-03-19 02:13:15,1
7,443,Message,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,772,2023-04-21 11:55:18,1
8,412,Message,eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,736,2023-08-17 13:04:49,1
9,383,Story,porttitor id consequat in consequat ut nulla sed accumsan felis ut,868,2023-12-01 14:11:25,1
10,252,Message,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,35,2023-07-26 18:19:49,1
11,557,Message,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem,740,2024-01-11 00:24:43,1
12,152,Message,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,894,2023-03-19 06:45:01,1
13,822,Message,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,688,2024-02-24 06:04:43,1
14,321,Message,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,809,2023-11-28 05:56:45,1
15,326,Message,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,701,2024-01-24 20:30:45,1
16,785,Story,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,695,2023-04-04 08:05:47,1
17,389,Story,vitae mattis nibh ligula nec sem duis aliquam convallis nunc,640,2024-02-07 15:49:29,1
